stage,split,column,mean,p50,p05,min,low_ratio_lt_0_01
raw,train,article,0.19500876998240405,0.19602272727272727,0.16340467652771554,0.0019880715705765406,1
raw,train,summary,0.19902298299843196,0.20039292730844793,0.15921583320476934,0.07214428857715431,0
raw,valid,article,0.1950032370625392,0.19519704433497537,0.16393961436761598,0.12595936794582394,0
raw,valid,summary,0.198562464476663,0.19948849104859334,0.15946857449270455,0.11682242990654206,0
clean,train,article,0.19504378468587705,0.1960573476702509,0.16344007731839694,0.0019880715705765406,1
clean,train,summary,0.19920153922373154,0.20048309178743962,0.15942028985507245,0.07228915662650602,0
clean,valid,article,0.1950666528558195,0.19533527696793002,0.1641349462349954,0.12595936794582394,0
clean,valid,summary,0.19873311806832003,0.19955156950672645,0.15946857449270455,0.11682242990654206,0
